roost_site,latitude_s,longitude_e,researchers_present,collection_date,net_night,bat_species,sampleid,ORIGINAL,bartonella_E1,bartonella_E2,bartonella_E3,bartonella_E4,bartonella_E5,bartonella_Ew,bartonella_new1,bartonella_Ra1,gltA_ying,nuoG_chris,old_bart,chris_bart,sample_type,source,bartonella_precense_absence,PCR_markers_tested_bartonella,confirmed_by_sequencing,age_by_tooth,cc,tooth_type,,tag_color,tag_side,unique_tag_id,full_tag_description,recap,previous_id1,previous_id2,previous_id3,previous_id4,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,bat_weight_g,body_length_cm,bat_forearm_mm,bat_tibia_mm,ear_length_mm,gonad_length_mm,gonad_width_mm,check_hair_clip,check_wing_biop,bat_flies,meglastreblidae,fleas,mites,ticks,check_urine,feces_utm,throat_utm,feces_microbiome,serum_vol_ul,plasma_vol_ul,rna_protect_vol_ul,check_slides_thick,check_slides_thin,check_blood_filter,performed_tooth_extraction,toothwear,temperature_notes,additional_notes,performed_anesthesia,drugs_lidocaine,drugs_metacam_ml,drugs_la_200_ml,duration_extraction_min,anesthesia_notes,necropsy,liver_rna_later,spleen_rna_later,kidney_rna_later,brain_rna_later,liver_plain,spleen_plain,kidney_plain,brain_plain,liver_aluminum,gonads_aluminum,brain_aluminum,intestines_aluminum,teeth,tooth_type,blood_bka_quantity_ul,duplicate_id,
Marovitsika,-18.8403,48.0554,"CB, CR, AR",06-11-13,3,Pteropus rufus,MARO6,MARO6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,gold,R,304,304 Gold RT,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,740,33,155,84.3,28.1,NA,NA,yes,NA,NA,NA,NA,NA,NA,3,2,2,NA,500,NA,NA,0,4,yes,no,NA,100.0 (7:02); 98.8 (7:37),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Marovitsika,-18.8403,48.0554,"CB, CR, AR",07-11-13,4,Pteropus rufus,MARO7,MARO7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,gold,L,305,305 Gold LFT,NA,NA,NA,NA,NA,female,L,NA,NA,NA,NA,510,32.5,165,79,25,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,800,NA,NA,0,0,yes,no,NA,97.7 (7:46); 101.9 (8:20),mother to MARO8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Marovitsika,-18.8403,48.0554,"CB, CR, AR",07-11-13,4,Pteropus rufus,MARO9,MARO9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,red,R,401,401 Red RT,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,700,32,170,88,22.9,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,1000,NA,NA,0,3,yes,no,NA,100.6 (9:01); 101.3 (9:23),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Marovitsika,-18.8403,48.0554,"CB, CR, AR",07-11-13,4,Pteropus rufus,MARO8,MARO8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,male,J,NA,NA,NA,NA,150,24.3,98,50,18.8,NA,NA,yes,NA,NA,NA,NA,NA,NA,1,2,2,NA,300,NA,NA,0,0,yes,no,NA,98 (8:39); 8:52 (98.9),juvenile to MARO7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Marovitsika,-18.8403,48.0554,"CB, CR, AR",08-11-13,5,Pteropus rufus,MARO10,MARO10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,gold,L,306,306 Gold LFT,NA,NA,NA,NA,NA,female,L,NA,NA,NA,NA,512,28,154,76,24,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,800,NA,NA,0,3,yes,no,NA,99.6 (6:31); 99.7 (6:52),mother to MARO11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Marovitsika,-18.8403,48.0554,"CB, CR, AR",08-11-13,5,Pteropus rufus,MARO12,MARO12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,gold,L,307,307 Gold LFT,NA,NA,NA,NA,NA,female,L,NA,NA,NA,NA,650,31,168,86.4,24,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,700,NA,NA,0,3,yes,no,NA,100.1 (7:41); 99.3 (7:58),mother to MARO13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Marovitsika,-18.8403,48.0554,"CB, CR, AR",08-11-13,5,Pteropus rufus,MARO11,MARO11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,female,J,NA,NA,NA,NA,112,20,89,45,21,NA,NA,yes,NA,NA,NA,NA,NA,NA,0,2,2,NA,300,NA,NA,0,3,yes,no,NA,94.7 (7:04); 97.3 (7:30),juvenile to MARO10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Marovitsika,-18.8403,48.0554,"CB, CR, AR",08-11-13,5,Pteropus rufus,MARO13,MARO13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,female,J,NA,NA,NA,NA,70,18,59,36,16.5,NA,NA,yes,NA,NA,NA,NA,NA,NA,1,2,2,NA,0,NA,NA,0,3,yes,no,NA,too small,juvenile to MARO12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",15-11-13,1,Pteropus rufus,AMB1,AMB1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,2,A,lower left premolar,,red,R,402,402 Red RT,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,710,28,184,82.2,38,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,1000,NA,NA,0,3,yes,yes,NA,100.7 (7:53); 98.9 (8:02); 97.5 (8:19); 97.3 (8:27); 95.9 (9:07); 96.8 (9:50); 97.8 (10:40); 100.9 (11:13); 101.8 (12:24),NA,NA,yes,0.04,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",15-11-13,1,Pteropus rufus,AMB2,AMB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,1,A,lower left premolar,,red,NA,403,403 Red,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,690,26.4,180,90,34,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,1000,NA,NA,0,3,yes,yes,NA,100.5 (8:41); 98.8 (8:53); 97.6 (9:03); 95.3 (9:54); 97.1 (10:40); 99.9 (11:08); 102.9 (12:22),NA,NA,yes,0.04,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",15-11-13,1,Pteropus rufus,AMB3,AMB3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,red,NA,404,404 Red,NA,NA,NA,NA,NA,female,L,NA,NA,NA,NA,590,28.5,165,92,25,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,1000,NA,NA,0,3,yes,no,NA,104.9 (9:25); 104.8 (9:30); 103.8 (9:55); 103.4 (9:43),mother to AMB4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",15-11-13,1,Pteropus rufus,AMB6,AMB6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,red,L,405,405 Red LFT,NA,NA,NA,NA,NA,female,L,NA,NA,NA,NA,530,27,160,80,23,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,1000,NA,NA,0,3,yes,no,NA,104.1 (11:15); 104.2 (11:31); 99.2 (11:37),mother to AMB7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",15-11-13,1,Pteropus rufus,AMB4,AMB4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,male,J,NA,NA,NA,NA,125,16,85.4,50,21.9,NA,NA,yes,NA,NA,NA,NA,NA,NA,1,2,2,NA,0,NA,NA,0,3,yes,no,NA,99.5 (10:02); 102.2 (10:13); 96.9 (10:31),juvenile to AMB3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",15-11-13,1,Pteropus rufus,AMB5,AMB5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,male,J,NA,NA,NA,NA,150,17,99.9,55,27,NA,NA,yes,NA,NA,NA,NA,NA,NA,1,2,2,NA,50,NA,NA,0,3,yes,no,NA,100.8 (10:47); 101.6 (10:55); 96.7 (11:01),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",15-11-13,1,Pteropus rufus,AMB7,AMB7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,male,J,NA,NA,NA,NA,130,17,94,55,20,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,150,NA,NA,0,0,yes,no,NA,99.2 (11:45); 105.2 (11:54); 99.7 (12:13),juvenile to AMB6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",16-11-13,2,Pteropus rufus,AMB8,AMB8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,gold,L,308,308 Gold LFT,NA,NA,NA,NA,NA,female,NL,NA,NA,NA,NA,640,23.4,166,85,27,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,1000,NA,NA,0,3,yes,yes,NA,100.8 (7:14); 97.4 (7:33); 96.8 (7:38); 96.3 (7:46); 96.9 (8:50); 98.9 (9:20); 101.6 (9:50),NA,NA,yes,0.04,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",16-11-13,2,Pteropus rufus,AMB9,AMB9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,gold,L,309,309 Gold LFT,NA,NA,NA,NA,NA,female,L,NA,NA,NA,NA,590,25.4,158,79,29,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,600,NA,NA,0,3,yes,no,NA,100.3 (7:50); 99.5 (8:01); 99.4 (8:15); 100.4 (8:21),mother to AMB10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",16-11-13,2,Pteropus rufus,AMB11,AMB11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,gold,L,310,310 Gold LFT,NA,NA,NA,NA,NA,female,L,NA,NA,NA,NA,520,27,158,82,34,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,1000,NA,NA,0,3,yes,no,NA,101.5 (8:59); 103.4 (9:07); 104.7 (9:11); 103.5 (9:16),mother to AMB12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",16-11-13,2,Pteropus rufus,AMB10,AMB10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,male,J,NA,NA,NA,NA,145,unknown,102,59,21,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,300,NA,NA,0,3,yes,no,NA,92.6 (8:31); 99.1 (8:38); 98.7 (8:43),juvenile to AMB9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",16-11-13,2,Pteropus rufus,AMB12,AMB12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,male,J,NA,NA,NA,NA,150,11.5,99,46,20.8,NA,NA,yes,NA,NA,NA,NA,NA,NA,0,2,2,NA,200,NA,NA,0,3,yes,no,NA,97.6 (9:26); 98.9 (9:33); 98.9 (9:41),juvenile to AMB11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",18-11-13,4,Pteropus rufus,AMB13,AMB13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,gold,L,311,311 Gold LFT,NA,NA,NA,NA,NA,female,L,NA,NA,NA,NA,650,26,161,81.2,20.8,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,500,NA,NA,0,3,yes,no,NA,101.8 (7:13); 102.2 (7:22); 102.6 (7:34); 101.6 (7:45),mother to AMB14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",18-11-13,4,Pteropus rufus,AMB16,AMB16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,gold,L,312,312 Gold LFT,NA,NA,NA,NA,NA,female,L,NA,NA,NA,NA,550,27.8,162,74,22,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,800,NA,NA,0,3,yes,no,NA,100.2 (8:19); 101.1 (8:29); 104 (8:35),mother to AMB15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",18-11-13,4,Pteropus rufus,AMB17,AMB17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,gold,L,313,313 Gold LFT,NA,NA,NA,NA,NA,female,L,NA,NA,NA,NA,520,27.5,168,80,23,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,1000,NA,NA,0,3,yes,no,NA,99.2 (9:02); 101.4 (9:10); 105 (9:20),mother to AMB18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",18-11-13,4,Pteropus rufus,AMB14,AMB14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,female,J,NA,NA,NA,NA,165,16.5,100,65,19,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,30,NA,NA,0,3,yes,no,NA,97.1 (7:53); 97.8 (8:10),juvenile to AMB13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",18-11-13,4,Pteropus rufus,AMB15,AMB15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,male,J,NA,NA,NA,NA,130,15,96,54,20.8,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,400,NA,NA,0,3,yes,no,NA,97.3 (8:44); 98 (8:56),juvenile to AMB16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",18-11-13,4,Pteropus rufus,AMB18,AMB18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,male,J,NA,NA,NA,NA,145,18.2,98.9,51,19.8,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,200,NA,NA,0,3,yes,no,NA,97.3 (9:27); 97.7 (9:31); 98.1 (9:38),juvenile to AMB17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Ambakoana,-18.513,48.1665,"CB, CR, AR, Rabetso",19-11-13,5,Pteropus rufus,AMB19,AMB19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,3,B,lower left premolar,,red,R,406,406 Red RT,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,620,27.3,169,81.2,32,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,1000,NA,NA,0,3,yes,yes,NA,95.7 (6:02); 95.1 (6:09); sub 94 (6:26); sub 94 (6:34); sub 94 (7:07); 95 (7:56); 97.2 (8:19),NA,NA,yes,0.04,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
