roost_site,latitude_s,longitude_e,researchers_present,collection_date,net_night,bat_species,sampleid,ORIGINAL,bartonella_E1,bartonella_E2,bartonella_E3,bartonella_E4,bartonella_E5,bartonella_Ew,bartonella_new1,bartonella_Ra1,gltA_ying,nuoG_chris,old_bart,chris_bart,sample_type,source,bartonella_precense_absence,PCR_markers_tested_bartonella,confirmed_by_sequencing,age_by_tooth,cc,tooth_type,,tag_color,tag_side,unique_tag_id,full_tag_description,recap,previous_id1,previous_id2,previous_id3,previous_id4,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,bat_weight_g,body_length_cm,bat_forearm_mm,bat_tibia_mm,ear_length_mm,gonad_length_mm,gonad_width_mm,check_hair_clip,check_wing_biop,bat_flies,meglastreblidae,fleas,mites,ticks,check_urine,feces_utm,throat_utm,feces_microbiome,serum_vol_ul,plasma_vol_ul,rna_protect_vol_ul,check_slides_thick,check_slides_thin,check_blood_filter,performed_tooth_extraction,toothwear,temperature_notes,additional_notes,performed_anesthesia,drugs_lidocaine,drugs_metacam_ml,drugs_la_200_ml,duration_extraction_min,anesthesia_notes,necropsy,liver_rna_later,spleen_rna_later,kidney_rna_later,brain_rna_later,liver_plain,spleen_plain,kidney_plain,brain_plain,liver_aluminum,gonads_aluminum,brain_aluminum,intestines_aluminum,teeth,tooth_type,blood_bka_quantity_ul,duplicate_id,
Lakato,-19.195,48.4231,"CB, CR, LA",22-08-13,2,Eidolon dupreanum,LKT001,LKT001,0,0,0,0,0,0,1,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,1,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,R,201,201 Blue RT,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,293,20,130,60,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,1000,NA,NA,0,2,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Lakato,-19.195,48.4231,"CB, CR, LA",22-08-13,2,Eidolon dupreanum,LKT002,LKT002,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,R,202,202 Blue RT,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,413.5,24.5,130,63,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,1000,NA,NA,0,2,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Lakato,-19.195,48.4231,"CB, CR, LA",22-08-13,2,Eidolon dupreanum,LKT003,LKT003,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,R,203,203 Blue RT,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,439,24,136,65,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,1000,NA,NA,0,2,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Lakato,-19.195,48.4231,"CB, CR, LA",22-08-13,2,Eidolon dupreanum,LKT004,LKT004,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,R,204,204 Blue RT,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,347.7,23.4,128,60,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,1000,NA,NA,0,2,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Lakato,-19.195,48.4231,"CB, CR, LA",22-08-13,2,Eidolon dupreanum,LKT005,LKT005,0,0,0,0,0,0,0,0,0,0,NA,NA,blood_pellet_A,Clifton McKee,0,"ITS, gltA, nuoG",yes,NA,NA,NA,,blue,R,206,206 Blue RT,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,423.6,29,126,62,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,1000,NA,NA,0,2,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Marovitsika,-18.8403,48.0554,"CB, CR, AR",04-11-13,1,Pteropus rufus,MARO1,MARO1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,0.8,A,lower left premolar,,gold,R,301,301 Gold RT,NA,NA,NA,NA,NA,male,A,NA,NA,NA,NA,630,37,150,77,36,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,1000,NA,NA,0,4,yes,yes,NA,101.6 (8:07); 100.1 (9:01); 101.3 (9:05); 98.1 (14:00),NA,NA,yes,0.04,0.8,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Marovitsika,-18.8403,48.0554,"CB, CR, AR",04-11-13,1,Pteropus rufus,MARO2,MARO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,gold,L,302,302 Gold LFT,NA,NA,NA,NA,NA,female,L,NA,NA,NA,NA,600,34.5,153,80,35,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,1000,NA,NA,0,4,yes,no,NA,101.3 (9:38),mother to MARO3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Marovitsika,-18.8403,48.0554,"CB, CR, AR",04-11-13,1,Pteropus rufus,MARO4,MARO4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,2.5,A,lower left canine,,gold,L,303,303 Gold LFT,NA,NA,NA,NA,NA,female,L,NA,NA,NA,NA,510,38,147,85,31,NA,NA,yes,NA,NA,NA,NA,NA,NA,2,2,2,NA,1000,NA,NA,0,5,yes,yes,NA,105.7 (11:31); 109 (12:10),mother to MARO5,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Marovitsika,-18.8403,48.0554,"CB, CR, AR",04-11-13,1,Pteropus rufus,MARO3,MARO3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,female,J,NA,NA,NA,NA,135,23,91,61,19,NA,NA,yes,NA,NA,NA,NA,NA,NA,0,2,2,NA,100,NA,NA,0,4,yes,no,NA,too small,juvenile to MARO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
Marovitsika,-18.8403,48.0554,"CB, CR, AR",04-11-13,1,Pteropus rufus,MARO5,MARO5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_yet_tested,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,male,J,NA,NA,NA,NA,118,23.5,87,55,22,NA,NA,yes,NA,NA,NA,NA,NA,NA,1,2,2,NA,150,NA,NA,0,4,yes,no,NA,too small,juvenile to MARO4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,
