"month","mean.x","sd.x","mean_Hday","mean_Hnight","mean_Temp","mean_NDVI","mean_prec","mean_tempLag","mean_precLag","roost_site","processing_date","bat_species","bat_sex","bat_age_class","bat_weight_g","body_length_cm","bat_forearm_mm","bat_tibia_mm","ear_length_mm","gonad_length_mm","gonad_width_mm","meglastreblidae","bat_flies","mass_forearm_residual","dmy","mean.y","sd.y","se_Eid","er_lci","er_uci"
1,1.72727272727273,2.42135025614574,67.8131142857143,90.6607142857143,18.5697314285714,0.638757142857143,0.29828626,14.2949114285714,0.0796579457142857,"Angavokely_Edup","2023-01-13","Eidolon dupreanum","male","A",378,21.2,128.9,63.9,29.4,"17","15.3",0,3,58.5632080251703,2023-01-13,1.72727272727273,2.42135025614574,0.298047613212169,1.14309940537688,2.31144604916858
1,1.72727272727273,2.42135025614574,67.8131142857143,90.6607142857143,18.5697314285714,0.638757142857143,0.29828626,14.2949114285714,0.0796579457142857,"Angavokely_Edup","2019-01-06","Eidolon dupreanum","female","NL",341,15.06,132,61.2,28.6,"7.7","7.5",NA,1,23.4158680388525,2019-01-06,1.72727272727273,2.42135025614574,0.298047613212169,1.14309940537688,2.31144604916858
1,1.72727272727273,2.42135025614574,67.8131142857143,90.6607142857143,18.5697314285714,0.638757142857143,0.29828626,14.2949114285714,0.0796579457142857,"Angavokely_Edup","2019-01-08","Eidolon dupreanum","female","NL",315,21.1,131,63,31,"11","12",NA,0,0.39272058737015,2019-01-08,1.72727272727273,2.42135025614574,0.298047613212169,1.14309940537688,2.31144604916858
1,1.72727272727273,2.42135025614574,67.8131142857143,90.6607142857143,18.5697314285714,0.638757142857143,0.29828626,14.2949114285714,0.0796579457142857,"Angavokely_Edup","2016-01-10","Eidolon dupreanum","male","A",340,23.5,135.6,66.7,30.6,"17.5","19.8",NA,1,NA,2016-01-10,1.72727272727273,2.42135025614574,0.298047613212169,1.14309940537688,2.31144604916858
1,1.72727272727273,2.42135025614574,67.8131142857143,90.6607142857143,18.5697314285714,0.638757142857143,0.29828626,14.2949114285714,0.0796579457142857,"Angavokely_Edup","2019-01-06","Eidolon dupreanum","male","A",395,24.2,136,62.1,35.1,"22.9","20.7",NA,0,40.6208589791175,2019-01-06,1.72727272727273,2.42135025614574,0.298047613212169,1.14309940537688,2.31144604916858
1,1.72727272727273,2.42135025614574,67.8131142857143,90.6607142857143,18.5697314285714,0.638757142857143,0.29828626,14.2949114285714,0.0796579457142857,"Angavokely_Edup","2019-01-08","Eidolon dupreanum","male","A",330,19.8,124.3,59.8,32.4,"12.9","14.6",NA,0,32.264684366154,2019-01-08,1.72727272727273,2.42135025614574,0.298047613212169,1.14309940537688,2.31144604916858
1,1.72727272727273,2.42135025614574,67.8131142857143,90.6607142857143,18.5697314285714,0.638757142857143,0.29828626,14.2949114285714,0.0796579457142857,"Angavokely_Edup","2019-01-06","Eidolon dupreanum","male","A",120,13.68,123,55.2,26.2,"10.5","10",NA,5,-171.736145436798,2019-01-06,1.72727272727273,2.42135025614574,0.298047613212169,1.14309940537688,2.31144604916858
1,1.72727272727273,2.42135025614574,67.8131142857143,90.6607142857143,18.5697314285714,0.638757142857143,0.29828626,14.2949114285714,0.0796579457142857,"Angavokely_Edup","2019-01-06","Eidolon dupreanum","female","NL",325,14.28,128.2,61.6,26.9,"12.8","11.8",NA,9,18.6990100206943,2019-01-06,1.72727272727273,2.42135025614574,0.298047613212169,1.14309940537688,2.31144604916858
1,1.72727272727273,2.42135025614574,67.8131142857143,90.6607142857143,18.5697314285714,0.638757142857143,0.29828626,14.2949114285714,0.0796579457142857,"Angavokely_Edup","2023-01-13","Eidolon dupreanum","female","NL",145,17.1,104.5,45.7,23.7,"0","0",0,0,NA,2023-01-13,1.72727272727273,2.42135025614574,0.298047613212169,1.14309940537688,2.31144604916858
1,1.72727272727273,2.42135025614574,67.8131142857143,90.6607142857143,18.5697314285714,0.638757142857143,0.29828626,14.2949114285714,0.0796579457142857,"Angavokely_Edup","2016-01-10","Eidolon dupreanum","male","A",320,22,126.5,58.59,29.48,"15.67","20.03",NA,0,NA,2016-01-10,1.72727272727273,2.42135025614574,0.298047613212169,1.14309940537688,2.31144604916858
