"","ID","SITE_ID","NDVI_bf_201801","NDVI_bf_201802","NDVI_bf_201803","NDVI_bf_201804","NDVI_bf_201805","NDVI_bf_201806","NDVI_bf_201807","NDVI_bf_201808","NDVI_bf_201809","NDVI_bf_201810","NDVI_bf_201811","NDVI_bf_201812","NDVI_bf_201901","NDVI_bf_201902","NDVI_bf_201903","NDVI_bf_201904","NDVI_bf_201905","NDVI_bf_201906","NDVI_bf_201907","NDVI_bf_201908","NDVI_bf_201909","NDVI_bf_201910","NDVI_bf_201911","NDVI_bf_201912"
"1092",12,"Maromizaha",0.750372469425201,0.776337325572968,0.809297442436218,0.810091614723206,0.814378499984741,0.818385303020477,0.760655403137207,0.773534595966339,0.741198599338531,0.720379173755646,0.70194286108017,0.715678334236145,0.736526668071747,0.783387899398804,0.81187516450882,0.799641847610474,0.787212550640106,0.798231780529022,0.788346707820892,0.790955662727356,0.764707267284393,0.743315875530243,0.694635987281799,0.721034288406372
"1093",12,"Maromizaha",0.791814804077148,0.781811475753784,0.818464040756226,0.831768333911896,0.844942271709442,0.843425631523132,0.812521159648895,0.819650232791901,0.805778205394745,0.793636798858643,0.764987051486969,0.785661995410919,0.783755898475647,0.813933193683624,0.835763335227966,0.829284250736237,0.823926448822021,0.807797193527222,0.809797823429108,0.829914927482605,0.822689831256866,0.809143781661987,0.768276274204254,0.792171239852905
"1094",12,"Maromizaha",0.76699435710907,0.76175457239151,0.799245834350586,0.829114437103271,0.841112375259399,0.833072185516357,0.805761218070984,0.810925662517548,0.800382137298584,0.772061944007874,0.762507677078247,0.766002893447876,0.777669072151184,0.801603138446808,0.827391803264618,0.83493447303772,0.831328928470612,0.81561952829361,0.820158302783966,0.822340846061707,0.804692804813385,0.798324167728424,0.75312602519989,0.772066831588745
"1095",12,"Maromizaha",0.708559632301331,0.735574722290039,0.767687857151031,0.818108439445496,0.822065055370331,0.811809957027435,0.782273411750793,0.775564551353455,0.750931203365326,0.71251255273819,0.709380805492401,0.714087307453156,0.723935961723328,0.763635277748108,0.798536419868469,0.819938480854034,0.822147130966187,0.812490344047546,0.8043412566185,0.785118222236633,0.750268876552582,0.745122671127319,0.703942358493805,0.719546377658844
"1096",12,"Maromizaha",0.72629988193512,0.754421055316925,0.77314692735672,0.818261921405792,0.81663852930069,0.806308746337891,0.781623482704163,0.761979043483734,0.740593194961548,0.705688178539276,0.703811168670654,0.6978799700737,0.706667900085449,0.749557614326477,0.787448644638062,0.810585677623749,0.814980566501617,0.809529304504395,0.79645299911499,0.768524765968323,0.737294018268585,0.730975866317749,0.689400255680084,0.707461059093475
"1097",12,"Maromizaha",0.725973010063171,0.754384517669678,0.780152380466461,0.803234040737152,0.801498413085938,0.785657584667206,0.776635706424713,0.748085618019104,0.725317716598511,0.69567209482193,0.689309000968933,0.678968250751495,0.680367350578308,0.729284346103668,0.769758641719818,0.792735517024994,0.795758545398712,0.793671905994415,0.782595813274384,0.758270144462585,0.722366869449615,0.714065849781036,0.698251605033875,0.691632747650146
"1098",12,"Maromizaha",0.716292142868042,0.752390027046204,0.772882103919983,0.794508934020996,0.791112720966339,0.776363492012024,0.770923912525177,0.738840222358704,0.711600422859192,0.683906733989716,0.683542191982269,0.674809396266937,0.66645210981369,0.708343744277954,0.756589233875275,0.77873170375824,0.782646656036377,0.782846689224243,0.776749491691589,0.764044463634491,0.72230452299118,0.708539843559265,0.680203318595886,0.691049873828888
"1099",12,"Maromizaha",0.734453916549683,0.753515362739563,0.786962449550629,0.797732293605804,0.793686926364899,0.788082003593445,0.74043470621109,0.739681661128998,0.679897129535675,0.712560951709747,0.68215537071228,0.677193284034729,0.70731258392334,0.75302529335022,0.814067900180817,0.791723787784576,0.79231071472168,0.757007718086243,0.781930208206177,0.763638913631439,0.736024081707001,0.712705731391907,0.65919417142868,0.687103271484375
"1100",12,"Maromizaha",0.717518150806427,0.745697617530823,0.779209613800049,0.792277038097382,0.788743913173676,0.780150294303894,0.755488753318787,0.721802890300751,0.663578987121582,0.680858969688416,0.647688508033752,0.650260329246521,0.691565155982971,0.742507517337799,0.805709898471832,0.786232531070709,0.783209979534149,0.759535670280457,0.774124979972839,0.755055487155914,0.719163537025452,0.684687376022339,0.627660155296326,0.660203099250793
"1101",12,"Maromizaha",0.725902616977692,0.759600222110748,0.776440918445587,0.78859943151474,0.785944163799286,0.780883550643921,0.768579602241516,0.730260372161865,0.683251738548279,0.678703367710114,0.647685647010803,0.67149019241333,0.686808705329895,0.744166612625122,0.803346991539001,0.784931123256683,0.776383280754089,0.769348740577698,0.775208234786987,0.759098291397095,0.725417196750641,0.681648075580597,0.626089096069336,0.654659569263458
"1102",12,"Maromizaha",0.740774273872375,0.776792705059052,0.786528944969177,0.798961400985718,0.802673995494843,0.801111817359924,0.790620028972626,0.757445812225342,0.721860945224762,0.714691936969757,0.686155736446381,0.703191876411438,0.710281610488892,0.762303471565247,0.803787767887115,0.805765926837921,0.792409658432007,0.784031569957733,0.794636785984039,0.776124835014343,0.747197091579437,0.713076651096344,0.665675282478333,0.697228610515594
"1103",12,"Maromizaha",0.754678249359131,0.792456328868866,0.805708527565002,0.819677174091339,0.822922885417938,0.822641909122467,0.812106192111969,0.786916613578796,0.753729939460754,0.742112338542938,0.711587607860565,0.723456621170044,0.730690360069275,0.793133616447449,0.809256732463837,0.826526701450348,0.815118610858917,0.79797899723053,0.81130462884903,0.792235672473907,0.767109811306,0.742927134037018,0.699995577335358,0.738621413707733
"1104",12,"Maromizaha",0.771813154220581,0.78913414478302,0.811080396175385,0.824226260185242,0.832831740379333,0.831258714199066,0.823443114757538,0.806828916072845,0.783980846405029,0.761665880680084,0.751207411289215,0.764391720294952,0.767993628978729,0.808252692222595,0.822507500648499,0.821475267410278,0.80952787399292,0.797656953334808,0.818820178508759,0.818987548351288,0.800588667392731,0.78436416387558,0.742545127868652,0.775460124015808
"1105",12,"Maromizaha",0.77019077539444,0.77725476026535,0.785167872905731,0.828464448451996,0.842911005020142,0.823604881763458,0.824355602264404,0.809050619602203,0.791935086250305,0.764026701450348,0.778732478618622,0.760891795158386,0.772304177284241,0.809210896492004,0.827087938785553,0.831724643707275,0.826127469539642,0.813352823257446,0.829705119132996,0.823935389518738,0.810428440570831,0.798085153102875,0.760595202445984,0.766086935997009
