"","ID","SITE_ID","Humid_bf_201801","Humid_bf_201802","Humid_bf_201803","Humid_bf_201804","Humid_bf_201805","Humid_bf_201806","Humid_bf_201807","Humid_bf_201808","Humid_bf_201809","Humid_bf_201810","Humid_bf_201811","Humid_bf_201812","Humid_bf_201901","Humid_bf_201902","Humid_bf_201903","Humid_bf_201904","Humid_bf_201905","Humid_bf_201906","Humid_bf_201907","Humid_bf_201908","Humid_bf_201909","Humid_bf_201910","Humid_bf_201911","Humid_bf_201912"
"1",1,"Ambakoana",91.1484146118164,88.7001419067383,89.0555038452148,87.8221740722656,85.3568725585938,84.9051818847656,86.5439224243164,83.8749465942383,84.7281494140625,84.8352890014648,84.9075012207031,88.0647430419922,90.6008529663086,88.4988784790039,88.5069198608398,88.9635467529297,84.4396896362305,86.2034301757812,87.4853439331055,83.8677825927734,84.7648086547852,80.0836486816406,83.9669570922852,86.9282760620117
"2",1,"Ambakoana",92.7076568603516,92.2122955322266,89.3093109130859,88.906608581543,84.6579818725586,84.7630157470703,84.2538833618164,79.3180313110352,78.8064422607422,84.0591354370117,86.3516387939453,89.6276092529297,91.2764358520508,89.3413009643555,91.076057434082,88.8220291137695,84.3062896728516,84.4450912475586,83.5579833984375,78.4611053466797,82.5987014770508,77.3952484130859,82.7161331176758,85.7376708984375
"3",1,"Ambakoana",91.1484146118164,88.7001419067383,89.0555038452148,87.8221740722656,85.3568725585938,84.9051818847656,86.5439224243164,83.8749465942383,84.7281494140625,84.8352890014648,84.9075012207031,88.0647430419922,90.6008529663086,88.4988784790039,88.5069198608398,88.9635467529297,84.4396896362305,86.2034301757812,87.4853439331055,83.8677825927734,84.7648086547852,80.0836486816406,83.9669570922852,86.9282760620117
"4",2,"AngavoBe",87.9035110473633,86.9165420532227,85.2942657470703,86.8905029296875,83.9842834472656,81.0994262695312,83.9954452514648,82.2079467773438,82.7691421508789,84.3374099731445,85.2752914428711,86.8160705566406,88.06103515625,86.9383773803711,84.7748718261719,88.4840545654297,83.0856170654297,85.5622100830078,82.3104248046875,81.8388671875,81.550651550293,80.1841354370117,83.8087387084961,86.512939453125
"5",2,"AngavoBe",91.4227142333984,91.2209777832031,90.1865081787109,87.620735168457,85.3077697753906,82.2367935180664,85.8057556152344,73.323860168457,77.5719757080078,83.1239929199219,87.9772872924805,90.1076736450195,88.7611999511719,90.6564559936523,90.5701446533203,87.8437576293945,85.9013824462891,84.4418716430664,82.4793243408203,78.1575317382812,84.3247299194336,76.8889770507812,83.5370407104492,86.7836380004883
"6",2,"AngavoBe",92.7076568603516,92.2122955322266,89.3093109130859,88.906608581543,84.6579818725586,84.7630157470703,84.2538833618164,79.3180313110352,78.8064422607422,84.0591354370117,86.3516387939453,89.6276092529297,91.2764358520508,89.3413009643555,91.076057434082,88.8220291137695,84.3062896728516,84.4450912475586,83.5579833984375,78.4611053466797,82.5987014770508,77.3952484130859,82.7161331176758,85.7376708984375
"7",2,"AngavoBe",91.1484146118164,88.7001419067383,89.0555038452148,87.8221740722656,85.3568725585938,84.9051818847656,86.5439224243164,83.8749465942383,84.7281494140625,84.8352890014648,84.9075012207031,88.0647430419922,90.6008529663086,88.4988784790039,88.5069198608398,88.9635467529297,84.4396896362305,86.2034301757812,87.4853439331055,83.8677825927734,84.7648086547852,80.0836486816406,83.9669570922852,86.9282760620117
"8",3,"AngavoKely",91.4227142333984,91.2209777832031,90.1865081787109,87.620735168457,85.3077697753906,82.2367935180664,85.8057556152344,73.323860168457,77.5719757080078,83.1239929199219,87.9772872924805,90.1076736450195,88.7611999511719,90.6564559936523,90.5701446533203,87.8437576293945,85.9013824462891,84.4418716430664,82.4793243408203,78.1575317382812,84.3247299194336,76.8889770507812,83.5370407104492,86.7836380004883
"9",3,"AngavoKely",92.7076568603516,92.2122955322266,89.3093109130859,88.906608581543,84.6579818725586,84.7630157470703,84.2538833618164,79.3180313110352,78.8064422607422,84.0591354370117,86.3516387939453,89.6276092529297,91.2764358520508,89.3413009643555,91.076057434082,88.8220291137695,84.3062896728516,84.4450912475586,83.5579833984375,78.4611053466797,82.5987014770508,77.3952484130859,82.7161331176758,85.7376708984375
"10",4,"Ankarana_Canyon",88.1611404418945,88.5023727416992,86.3822555541992,85.8851928710938,84.9045181274414,80.0245513916016,78.1036376953125,78.988639831543,81.7690353393555,83.3546524047852,85.3613586425781,87.6431732177734,87.5801773071289,87.6321105957031,86.4866485595703,86.2003402709961,83.9785461425781,80.6208877563477,81.4209442138672,78.4976425170898,81.8399887084961,84.2086791992188,85.2383041381836,86.401741027832
"11",4,"Ankarana_Canyon",91.2512283325195,90.8434524536133,86.8370361328125,86.1040725708008,84.3349914550781,82.9288711547852,80.6750640869141,82.7249755859375,84.8247833251953,85.1721878051758,88.1978302001953,89.1311721801758,90.2133331298828,90.560432434082,88.5764007568359,87.7913665771484,84.7575149536133,82.0150680541992,83.8377380371094,82.2502517700195,87.4171752929688,86.2315063476562,87.4455947875977,88.3753204345703
"12",4,"Ankarana_Canyon",90.0991439819336,89.3911743164062,87.0902557373047,84.5642242431641,82.3826751708984,79.7218170166016,75.2611312866211,79.6132049560547,80.4452819824219,83.6723251342773,88.036018371582,88.3183670043945,87.7172775268555,89.1836471557617,86.7347030639648,87.4214401245117,85.4449920654297,79.2731323242188,78.5393829345703,78.5770263671875,83.0841217041016,84.0736999511719,86.0878372192383,86.5580215454102
