"","ID","SITE_ID","Humid_bf_201801","Humid_bf_201802","Humid_bf_201803","Humid_bf_201804","Humid_bf_201805","Humid_bf_201806","Humid_bf_201807","Humid_bf_201808","Humid_bf_201809","Humid_bf_201810","Humid_bf_201811","Humid_bf_201812","Humid_bf_201901","Humid_bf_201902","Humid_bf_201903","Humid_bf_201904","Humid_bf_201905","Humid_bf_201906","Humid_bf_201907","Humid_bf_201908","Humid_bf_201909","Humid_bf_201910","Humid_bf_201911","Humid_bf_201912"
"1",1,"Ambakoana",69.8043899536133,65.5638809204102,68.8882522583008,69.6340866088867,66.8948135375977,62.1201553344727,66.2973327636719,59.1824760437012,58.4991149902344,58.6892318725586,60.4888496398926,62.0009231567383,71.2267227172852,63.6782836914062,68.2039260864258,68.627571105957,67.0299987792969,68.8792877197266,66.7499160766602,58.9927101135254,57.1157569885254,53.2957344055176,60.8635902404785,63.889274597168
"2",1,"Ambakoana",68.009895324707,63.3767929077148,67.046760559082,67.6798782348633,61.7446899414062,59.0497779846191,65.3323211669922,54.8711204528809,53.0619049072266,52.0689086914062,53.308650970459,55.5056953430176,70.5433349609375,64.4738922119141,66.0362701416016,66.4824371337891,63.3233909606934,67.8531265258789,63.6671562194824,58.7173194885254,52.2300796508789,48.3678359985352,54.7749366760254,60.1085891723633
"3",1,"Ambakoana",69.8043899536133,65.5638809204102,68.8882522583008,69.6340866088867,66.8948135375977,62.1201553344727,66.2973327636719,59.1824760437012,58.4991149902344,58.6892318725586,60.4888496398926,62.0009231567383,71.2267227172852,63.6782836914062,68.2039260864258,68.627571105957,67.0299987792969,68.8792877197266,66.7499160766602,58.9927101135254,57.1157569885254,53.2957344055176,60.8635902404785,63.889274597168
"4",2,"AngavoBe",69.8043899536133,65.5638809204102,68.8882522583008,69.6340866088867,66.8948135375977,62.1201553344727,66.2973327636719,59.1824760437012,58.4991149902344,58.6892318725586,60.4888496398926,62.0009231567383,71.2267227172852,63.6782836914062,68.2039260864258,68.627571105957,67.0299987792969,68.8792877197266,66.7499160766602,58.9927101135254,57.1157569885254,53.2957344055176,60.8635902404785,63.889274597168
"5",3,"AngavoKely",69.8043899536133,65.5638809204102,68.8882522583008,69.6340866088867,66.8948135375977,62.1201553344727,66.2973327636719,59.1824760437012,58.4991149902344,58.6892318725586,60.4888496398926,62.0009231567383,71.2267227172852,63.6782836914062,68.2039260864258,68.627571105957,67.0299987792969,68.8792877197266,66.7499160766602,58.9927101135254,57.1157569885254,53.2957344055176,60.8635902404785,63.889274597168
"6",3,"AngavoKely",65.5369567871094,60.4937858581543,59.6068305969238,61.1981315612793,50.117057800293,47.623908996582,53.8148536682129,36.2192878723145,37.1975898742676,36.8941345214844,48.2589721679688,53.2043151855469,71.6144332885742,58.7481727600098,63.3041343688965,57.4656829833984,53.3759346008301,57.6608238220215,48.7376136779785,40.6707496643066,39.2461891174316,38.3448181152344,47.2483177185059,56.7696685791016
"7",3,"AngavoKely",69.8043899536133,65.5638809204102,68.8882522583008,69.6340866088867,66.8948135375977,62.1201553344727,66.2973327636719,59.1824760437012,58.4991149902344,58.6892318725586,60.4888496398926,62.0009231567383,71.2267227172852,63.6782836914062,68.2039260864258,68.627571105957,67.0299987792969,68.8792877197266,66.7499160766602,58.9927101135254,57.1157569885254,53.2957344055176,60.8635902404785,63.889274597168
"8",4,"Ankarana_Canyon",70.8870010375977,67.5528411865234,70.5018005371094,65.6515045166016,61.5700721740723,62.7725486755371,56.4429817199707,53.2843322753906,54.3770179748535,52.5716705322266,59.412109375,61.8931159973145,70.7084808349609,69.3520202636719,67.0927352905273,67.5734329223633,64.8331451416016,59.6047706604004,58.1255874633789,54.3046417236328,53.6551322937012,55.726448059082,63.2331428527832,67.2187881469727
"9",5,"Ankarana_Cathedral",70.8870010375977,67.5528411865234,70.5018005371094,65.6515045166016,61.5700721740723,62.7725486755371,56.4429817199707,53.2843322753906,54.3770179748535,52.5716705322266,59.412109375,61.8931159973145,70.7084808349609,69.3520202636719,67.0927352905273,67.5734329223633,64.8331451416016,59.6047706604004,58.1255874633789,54.3046417236328,53.6551322937012,55.726448059082,63.2331428527832,67.2187881469727
"10",6,"Ankarana_Chauves_Souris",70.8870010375977,67.5528411865234,70.5018005371094,65.6515045166016,61.5700721740723,62.7725486755371,56.4429817199707,53.2843322753906,54.3770179748535,52.5716705322266,59.412109375,61.8931159973145,70.7084808349609,69.3520202636719,67.0927352905273,67.5734329223633,64.8331451416016,59.6047706604004,58.1255874633789,54.3046417236328,53.6551322937012,55.726448059082,63.2331428527832,67.2187881469727
"11",7,"Lakato",78.8821640014648,77.6432113647461,78.8294219970703,77.261848449707,76.5280075073242,69.7920684814453,70.0933456420898,70.1759796142578,71.4829788208008,75.7299499511719,77.9476623535156,75.9668273925781,80.4208984375,77.6939010620117,78.7377777099609,79.5744781494141,76.182243347168,75.0486755371094,70.7706451416016,68.7291946411133,69.0741729736328,75.6903686523438,80.9086608886719,79.2612380981445
"12",7,"Lakato",72.4936904907227,71.3466415405273,72.2715911865234,73.4872741699219,72.0029754638672,68.0092163085938,69.8007278442383,63.7964057922363,64.0265045166016,68.7154541015625,69.8089294433594,67.9943161010742,74.7638092041016,68.8057632446289,72.2805557250977,73.0951766967773,73.4084167480469,73.4838790893555,67.6991424560547,62.614818572998,65.9091033935547,62.4248390197754,69.1228103637695,70.3304061889648
"13",7,"Lakato",69.8043899536133,65.5638809204102,68.8882522583008,69.6340866088867,66.8948135375977,62.1201553344727,66.2973327636719,59.1824760437012,58.4991149902344,58.6892318725586,60.4888496398926,62.0009231567383,71.2267227172852,63.6782836914062,68.2039260864258,68.627571105957,67.0299987792969,68.8792877197266,66.7499160766602,58.9927101135254,57.1157569885254,53.2957344055176,60.8635902404785,63.889274597168
