Accession_Number_Old,Accession_Number,X,Genus,Species,Binomial,Host_Binomial,Year_Sample_Collected,Country_of_Collection,Type
MIZ312_EM_M28,OR732280,OR732280,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ343_EM_FA,OR732247,OR732247,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ343_W_M28,OR732279,,Cyclopodia,dubia,Cyclopodia_dubia,Eidolon_dupreanum,NA,Madagascar,1
MIZ346_EM_MA,OR732283,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ367_EM_B,OR732250,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ367_EM_FA,OR732307,OR732307,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ452_EM_B,OR732256,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ452_EM_MA,OR732262,OR732262,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ455_EM_M27B,OR732241,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ455_EM_M28,OR732311,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ463_EM_B,OR732312,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ463_EM_FA,OR732254,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ464_EM_M27B,OR732292,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ466_EM_F27A,OR732314,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ466_EM_M28,OR732257,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ467_EM_M28,OR732287,OR732287,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ468_EM_B,OR732310,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ468_EM_MA,OR732267,OR732267,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ475_EM_F27A,OR732305,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ475_EM_M27B,OR732289,OR732289,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ476_EM_F27A,OR732315,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ481_EM_B,OR732313,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ481_EM_MA,OR732300,,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
MIZ482_W_F27A,OR732240,OR732240,Eucampsipoda,madagascariensis,Eucampsipoda_madagascariensis,Rousettus_madagascariensis,NA,Madagascar,1
