"","date","NDVI","humidity_day","sites","precipitation","temperature","Humidity nigth"
"1","2013-01-01",0.5392,66.13933,"Ambakoana",0.4553466,20.55126,90.3125
"2","2013-01-01",0.7422,66.13933,"AngavoBe",0.3704406,20.59091,90.3125
"3","2013-01-01",0.6301,66.13933,"AngavoKely",0.3235028,18.71481,90.3125
"4","2013-01-01",0.7877,63.44683,"Ankarana_Canyon",0.3688678,27.37802,89.875
"5","2013-01-01",0.7059,63.44683,"Ankarana_Cathedral",0.3688678,27.37802,89.875
"6","2013-01-01",0.6924,63.44683,"Ankarana_Chauves_Souris",0.3688678,26.22637,89.875
"7","2013-01-01",0.7677,66.13933,"Lakato",0.4836964,20.59091,90.3125
"8","2013-01-01",0.601,44.8232,"Mahabo",0.3925465,27.43774,84.3125
"9","2013-01-01",0.6343,63.3762,"Mahialambo",0.3440587,21.14245,89.375
"10","2013-01-01",0.8293,79.37073,"Makira",0.5024055,21.49511,86.8125
"11","2013-01-01",0.6086,63.3762,"Mangarivotra",0.3741603,20.55126,89.375
"12","2013-01-01",0.7556,66.13933,"Maromizaha",0.5122777,23.6911,90.3125
"13","2013-01-01",0.5989,63.3762,"Marotsipohy",0.3741603,20.55126,89.375
"14","2013-01-01",0.6382,66.13933,"Marovitsika",0.3795358,20.59091,90.3125
"15","2013-02-01",0.625,70.73567,"Ambakoana",0.6682156,20.42303,90.1875
"16","2013-02-01",0.7755,70.73567,"AngavoBe",0.449292,20.54,90.1875
"17","2013-02-01",0.6725,70.73567,"AngavoKely",0.3674329,18.5158,90.1875
"18","2013-02-01",0.7813,67.66177,"Ankarana_Canyon",0.3098204,27.15646,91.875
"19","2013-02-01",0.7091,67.66177,"Ankarana_Cathedral",0.3098204,27.15646,91.875
"20","2013-02-01",0.7434,67.66177,"Ankarana_Chauves_Souris",0.3098204,26.21691,91.875
"21","2013-02-01",0.7783,70.73567,"Lakato",0.7801139,20.54,90.1875
"22","2013-02-01",0.7026,58.22216,"Mahabo",0.417831,25.98931,89.6875
"23","2013-02-01",0.7258,68.66607,"Mahialambo",0.6024765,20.96481,91.8125
"24","2013-02-01",0.8411,79.73701,"Makira",0.5450487,21.63253,88
"25","2013-02-01",0.6703,68.66607,"Mangarivotra",0.6505266,20.42303,91.8125
"26","2013-02-01",0.7742,70.73567,"Maromizaha",0.8656299,23.72793,90.1875
"27","2013-02-01",0.6996,68.66607,"Marotsipohy",0.6505266,20.42303,91.8125
"28","2013-02-01",0.6465,70.73567,"Marovitsika",0.4956185,20.54,90.1875
"29","2013-03-01",0.6288,68.59586,"Ambakoana",0.24998014,19.384,90.125
"30","2013-03-01",0.8073,68.59586,"AngavoBe",0.24637584,19.27557,90.125
"31","2013-03-01",0.6784,68.59586,"AngavoKely",0.32862437,17.79299,90.125
"32","2013-03-01",0.7848,65.14458,"Ankarana_Canyon",0.09773863,27.99624,90.1875
"33","2013-03-01",0.7278,65.14458,"Ankarana_Cathedral",0.09773863,27.99624,90.1875
"34","2013-03-01",0.7351,65.14458,"Ankarana_Chauves_Souris",0.09773863,26.53314,90.1875
"35","2013-03-01",0.823,68.59586,"Lakato",0.16145848,19.27557,90.125
"36","2013-03-01",0.6793,40.65678,"Mahabo",0.15031511,26.38244,79.625
"37","2013-03-01",0.7256,66.79397,"Mahialambo",0.40248102,20.16879,89.6875
"38","2013-03-01",0.8536,78.85292,"Makira",0.14807814,20.93154,87.125
"39","2013-03-01",0.6929,66.79397,"Mangarivotra",0.31552953,19.384,89.6875
"40","2013-03-01",0.7947,68.59586,"Maromizaha",0.18392795,22.5841,90.125
"41","2013-03-01",0.6804,66.79397,"Marotsipohy",0.31552953,19.384,89.6875
"42","2013-03-01",0.7381,68.59586,"Marovitsika",0.2167623,19.27557,90.125
"43","2013-04-01",0.6263,65.25079,"Ambakoana",0.021848975,18.11376,91
"44","2013-04-01",0.7997,65.25079,"AngavoBe",0.028411714,18.09536,91
"45","2013-04-01",0.6781,65.25079,"AngavoKely",0.032802582,16.54171,91
"46","2013-04-01",0.7774,61.87889,"Ankarana_Canyon",0.238277018,27.46661,90.375
"47","2013-04-01",0.7345,61.87889,"Ankarana_Cathedral",0.238277018,27.46661,90.375
"48","2013-04-01",0.7255,61.87889,"Ankarana_Chauves_Souris",0.238277018,25.96832,90.375
"49","2013-04-01",0.8095,65.25079,"Lakato",0.024495097,18.09536,91
"50","2013-04-01",0.6098,34.76723,"Mahabo",0.002163988,25.5711,69.5625
"51","2013-04-01",0.7281,64.9371,"Mahialambo",0.008066142,18.89819,90.1875
"52","2013-04-01",0.8511,79.40207,"Makira",0.068935312,19.99282,85.875
"53","2013-04-01",0.6703,64.9371,"Mangarivotra",0.004154598,18.11376,90.1875
"54","2013-04-01",0.7626,65.25079,"Maromizaha",0.019905986,21.48562,91
"55","2013-04-01",0.6761,64.9371,"Marotsipohy",0.004154598,18.11376,90.1875
"56","2013-04-01",0.7468,65.25079,"Marovitsika",0.025473047,18.09536,91
"57","2013-05-01",0.5815,64.3483,"Ambakoana",0.0422543176,17.1835,91.8125
"58","2013-05-01",0.8087,64.3483,"AngavoBe",0.0441115759,17.10635,91.8125
"59","2013-05-01",0.6594,64.3483,"AngavoKely",0.0385298394,15.36041,91.8125
"60","2013-05-01",0.72,55.15606,"Ankarana_Canyon",0.0021846599,26.63897,88.625
"61","2013-05-01",0.6478,55.15606,"Ankarana_Cathedral",0.0021846599,26.63897,88.625
"62","2013-05-01",0.6652,55.15606,"Ankarana_Chauves_Souris",0.0021846599,24.36453,88.625
"63","2013-05-01",0.8277,64.3483,"Lakato",0.0325411893,17.10635,91.8125
"64","2013-05-01",0.5474,35.23277,"Mahabo",0.0005817951,23.9324,71.0625
"65","2013-05-01",0.6998,62.23301,"Mahialambo",0.0180689041,17.8178,89.5625
"66","2013-05-01",0.8719,75.24591,"Makira",0.0143965818,18.40704,80.5625
"67","2013-05-01",0.6528,62.23301,"Mangarivotra",0.0209688488,17.1835,89.5625
"68","2013-05-01",0.8493,64.3483,"Maromizaha",0.0479149856,20.46133,91.8125
"69","2013-05-01",0.6615,62.23301,"Marotsipohy",0.0209688488,17.1835,89.5625
"70","2013-05-01",0.7253,64.3483,"Marovitsika",0.0479126498,17.10635,91.8125
"71","2013-06-01",0.5704,64.63435,"Ambakoana",0.051375061,13.79461,89.5
"72","2013-06-01",0.795,64.63435,"AngavoBe",0.016395865,13.89791,89.5
"73","2013-06-01",0.6148,64.63435,"AngavoKely",0.003496078,11.95358,89.5
"74","2013-06-01",0.6437,55.67527,"Ankarana_Canyon",0.009800951,24.99087,89.75
"75","2013-06-01",0.5802,55.67527,"Ankarana_Cathedral",0.009800951,24.99087,89.75
"76","2013-06-01",0.5967,55.67527,"Ankarana_Chauves_Souris",0.009800951,22.68264,89.75
"77","2013-06-01",0.819,64.63435,"Lakato",0.056105483,13.89791,89.5
"78","2013-06-01",0.491,32.63453,"Mahabo",0,21.93649,66.4375
"79","2013-06-01",0.6915,66.17094,"Mahialambo",0.037160739,14.43096,91.4375
"80","2013-06-01",0.8418,73.59384,"Makira",0.043010321,16.13165,74.625
"81","2013-06-01",0.6501,66.17094,"Mangarivotra",0.040913939,13.79461,91.4375
"82","2013-06-01",0.8442,64.63435,"Maromizaha",0.052979909,18.09115,89.5
"83","2013-06-01",0.6486,66.17094,"Marotsipohy",0.040913939,13.79461,91.4375
"84","2013-06-01",0.707,64.63435,"Marovitsika",0.021375038,13.89791,89.5
"85","2013-07-01",0.5607,59.06844,"Ambakoana",0,13.37206,90.8125
"86","2013-07-01",0.7742,59.06844,"AngavoBe",0,13.46206,90.8125
"87","2013-07-01",0.5851,59.06844,"AngavoKely",0.010633128,11.87033,90.8125
"88","2013-07-01",0.5849,51.07165,"Ankarana_Canyon",0.01251887,24.53823,89.6875
"89","2013-07-01",0.5318,51.07165,"Ankarana_Cathedral",0.01251887,24.53823,89.6875
