"","Ambakoana","AngavoBe","AngavoKely","Ankarana_Canyon","Ankarana_Cathedral","Ankarana_Chauves_Souris","Lakato","Mahabo","Mahialambo","Makira","Mangarivotra","Maromizaha","Marotsipohy","Marovitsika"
"NDVI_pt_201401","0.5341","0.7691","0.6799","0.6975","0.6849","0.7168","0.7971","0.5357","0.6403","0.8223","0.5618","0.7763","0.6594","0.6833"
"NDVI_pt_201402","0.6027","0.8215","0.7202","0.7645","0.6827","0.7928","0.7880","0.6908","0.6954","0.8407","0.5929","0.7725","0.6709","0.7556"
"NDVI_pt_201403","0.6004","0.8175","0.7056","0.7693","0.7266","0.7371","0.8000","0.6705","0.7112","0.8671","0.6423","0.7441","0.6738","0.7428"
"NDVI_pt_201404","0.6330","0.8102","0.7055","0.7521","0.7070","0.7244","0.8040","0.5990","0.7083","0.8662","0.6685","0.7883","0.7026","0.7462"
"NDVI_pt_201405","0.5819","0.7964","0.6469","0.6952","0.6471","0.6521","0.8076","0.5405","0.6691","0.8652","0.6262","0.8445","0.6584","0.7165"
"NDVI_pt_201406","0.5472","0.7885","0.6228","0.6393","0.6006","0.5927","0.7998","0.4936","0.6488","0.8378","0.5796","0.8286","0.6209","0.6993"
"NDVI_pt_201911","0.5056","0.7069","0.5790","0.6145","0.4288","0.4606","0.6932","0.3489","0.5016","0.8367","0.5048","0.7630","0.5705","0.5107"
"NDVI_pt_201912","0.5603","0.7348","0.6150","0.7374","0.5732","0.6401","0.7037","0.3793","0.5108","0.8388","0.5282","0.7716","0.6054","0.5529"
"NDVI_pt_202001","0.6000","0.7962","0.6776","0.7876","0.6488","0.7477","0.7470","0.5119","0.5645","0.8421","0.5511","0.7514","0.6176","0.6126"
"NDVI_pt_202002","0.6197","0.7839","0.7093","0.7891","0.6941","0.7385","0.7810","0.6137","0.5936","0.8531","0.6024","0.8306","0.6858","0.6506"
"NDVI_pt_202003","0.6414","0.7897","0.7253","0.7972","0.7197","0.7763","0.7960","0.6015","0.6276","0.8697","0.6504","0.7838","0.7353","0.7244"
"NDVI_pt_201801","0.5236","0.7362","0.6193","0.7811","0.6116","0.6997","0.7459","0.5263","0.6031","0.8225","0.5826","0.7809","0.6706","0.6529"
"NDVI_pt_201802","0.5856","0.7548","0.6618","0.7934","0.6490","0.7423","0.7502","0.5927","0.6103","0.8548","0.5932","0.7788","0.6761","0.6849"
"NDVI_pt_201803","0.5776","0.7859","0.6912","0.8040","0.6239","0.7424","0.7805","0.5741","0.6437","0.8504","0.6418","0.8222","0.7126","0.6982"
"NDVI_pt_201804","0.6058","0.8059","0.6898","0.7845","0.6404","0.7265","0.8064","0.5664","0.6591","0.8674","0.6462","0.8426","0.7235","0.7112"
"NDVI_pt_201805","0.5938","0.8004","0.6712","0.6823","0.5973","0.6381","0.8149","0.5003","0.6342","0.8858","0.6397","0.8499","0.6949","0.6902"
"NDVI_pt_201806","0.5977","0.7938","0.6503","0.6363","0.5510","0.5859","0.8117","0.4470","0.6341","0.8898","0.6505","0.8245","0.6883","0.6716"
"NDVI_pt_201807","0.5740","0.7715","0.6233","0.5891","0.5198","0.5382","0.7977","0.4112","0.5963","0.8732","0.5905","0.8129","0.6367","0.6345"
"NDVI_pt_201808","0.5473","0.7344","0.5433","0.5335","0.4731","0.4908","0.7578","0.3758","0.5511","0.8670","0.5539","0.8044","0.6368","0.5804"
"NDVI_pt_201809","0.4933","0.7073","0.5289","0.5123","0.4252","0.4513","0.7210","0.3343","0.5196","0.8604","0.5218","0.7810","0.5904","0.5180"
"NDVI_pt_201810","0.5080","0.6913","0.5083","0.4829","0.3958","0.4168","0.7094","0.3173","0.4985","0.8418","0.5033","0.7856","0.5720","0.4927"
"NDVI_pt_201811","0.4817","0.6798","0.4825","0.5184","0.4070","0.4496","0.7018","0.3151","0.5038","0.8479","0.4967","0.7655","0.5691","0.4910"
"NDVI_pt_201812","0.4997","0.6761","0.5277","0.7048","0.5837","0.6617","0.6965","0.3585","0.5568","0.8200","0.5463","0.7855","0.5857","0.5150"
"NDVI_pt_201901","0.5461","0.7488","0.6002","0.7655","0.6695","0.7512","0.7096","0.5215","0.5952","0.8222","0.5643","0.7811","0.6411","0.5931"
"NDVI_pt_201902","0.6290","0.7579","0.6851","0.7853","0.6626","0.7578","0.7736","0.5967","0.6222","0.8256","0.6262","0.7975","0.7058","0.6612"
"NDVI_pt_201903","0.6738","0.8200","0.7309","0.7861","0.7167","0.7633","0.8024","0.6503","0.6521","0.8189","0.6479","0.8369","0.7628","0.7022"
"NDVI_pt_201904","0.6512","0.7977","0.7315","0.8072","0.7188","0.7440","0.8239","0.6027","0.6539","0.8751","0.6434","0.8315","0.7195","0.7349"
"NDVI_pt_201905","0.6267","0.8064","0.6969","0.7450","0.6762","0.6992","0.8146","0.5220","0.6569","0.8704","0.6405","0.8291","0.7095","0.7187"
"NDVI_pt_201906","0.6123","0.8043","0.6684","0.6647","0.6123","0.6191","0.7935","0.4844","0.6243","0.8686","0.6391","0.8109","0.6735","0.7061"
"NDVI_pt_201907","0.6175","0.7847","0.6325","0.6178","0.5592","0.5697","0.7984","0.4307","0.6025","0.8192","0.6112","0.7977","0.7098","0.6819"
"NDVI_pt_201908","0.5809","0.7589","0.6272","0.5604","0.5034","0.5181","0.7689","0.3849","0.5851","0.8804","0.5717","0.7849","0.6581","0.6507"
"NDVI_pt_201909","0.5290","0.7294","0.5471","0.5192","0.4578","0.4574","0.7382","0.3522","0.5213","0.8583","0.5244","0.8080","0.6102","0.5783"
"NDVI_pt_201910","0.5130","0.7466","0.5557","0.5042","0.4248","0.4299","0.7147","0.3342","0.5130","0.8427","0.5177","0.7937","0.5944","0.5473"
"NDVI_pt_201507","0.5354","0.7795","0.6087","0.5861","0.5265","0.5250","0.7836","0.5022","0.6581","0.8658","0.6051","0.8187","0.6691","0.6807"
"NDVI_pt_201508","0.5266","0.7368","0.5485","0.5340","0.4803","0.4888","0.7731","0.4593","0.6089","0.8544","0.5536","0.8187","0.6143","0.6254"
"NDVI_pt_201509","0.4928","0.7191","0.5100","0.5024","0.4417","0.4537","0.7422","0.4308","0.5989","0.8530","0.5407","0.7967","0.5638","0.5893"
"NDVI_pt_201510","0.4693","0.6790","0.4808","0.5034","0.4469","0.5264","0.7045","0.4112","0.5296","0.8795","0.4790","0.7742","0.5040","0.5435"
"NDVI_pt_201511","0.5055","0.7101","0.5474","0.5879","0.4914","0.5383","0.7025","0.4377","0.5713","0.8369","0.5388","0.7919","0.5430","0.5924"
"NDVI_pt_201512","0.5048","0.7375","0.6314","0.7062","0.6319","0.6258","0.7111","0.4851","0.5783","0.8398","0.5455","0.7692","0.5377","0.6058"
"NDVI_pt_201601","0.5588","0.7713","0.6603","0.7515","0.6792","0.6679","0.7882","0.6387","0.6155","0.8541","0.5684","0.8187","0.5730","0.6732"
"NDVI_pt_201602","0.5777","0.7637","0.6497","0.8322","0.7029","0.7623","0.7423","0.6110","0.6209","0.8284","0.5765","0.8287","0.6725","0.6851"
"NDVI_pt_201603","0.6290","0.7750","0.6924","0.7861","0.7014","0.7362","0.8199","0.6692","0.6578","0.8590","0.6027","0.8086","0.7100","0.7302"
"NDVI_pt_201604","0.6303","0.8071","0.7028","0.7967","0.7184","0.7429","0.8158","0.6706","0.6204","0.8851","0.6006","0.8263","0.7145","0.7427"
"NDVI_pt_201605","0.5906","0.8098","0.6817","0.7282","0.6577","0.6629","0.8117","0.5699","0.6317","0.8261","0.5954","0.8415","0.6709","0.7239"
"NDVI_pt_201606","0.6265","0.8026","0.6804","0.6565","0.5931","0.6043","0.8026","0.4939","0.6649","0.8364","0.6221","0.8308","0.6896","0.7259"
"NDVI_pt_201607","0.5689","0.7790","0.6303","0.6039","0.5347","0.5378","0.7838","0.4378","0.6270","0.8019","0.5859","0.8197","0.6730","0.7008"
"NDVI_pt_201608","0.5393","0.7454","0.5805","0.5580","0.4970","0.4940","0.7607","0.3994","0.5887","0.8581","0.5354","0.8073","0.6250","0.6624"
"NDVI_pt_201609","0.5009","0.7269","0.5378","0.5125","0.4490","0.4413","0.7223","0.3634","0.5534","0.8279","0.4985","0.7795","0.5765","0.6076"
"NDVI_pt_201610","0.4523","0.6833","0.5065","0.5062","0.4221","0.4139","0.6869","0.3537","0.5016","0.8358","0.4701","0.7775","0.5341","0.5432"
"NDVI_pt_201611","0.4246","0.6486","0.5330","0.5150","0.4058","0.4190","0.6413","0.3595","0.4863","0.8312","0.4407","0.7506","0.5218","0.5110"
"NDVI_pt_201612","0.5360","0.7241","0.6110","0.6969","0.4834","0.5279","0.7345","0.4246","0.5317","0.8369","0.5046","0.7550","0.6483","0.6001"
"NDVI_pt_201701","0.5003","0.7325","0.6170","0.7519","0.6138","0.6698","0.7342","0.5664","0.5409","0.8431","0.5717","0.7629","0.6188","0.5758"
"NDVI_pt_201702","0.5737","0.7464","0.6438","0.7471","0.6922","0.6886","0.7278","0.6353","0.5984","0.8479","0.5608","0.7668","0.6737","0.6511"
