"Host_Binomial","bat_sampleid","Binomial","Accession_Number"
"Eidolon_dupreanum","KEL272","Cyclopodia_dubia","OR732304"
"Eidolon_dupreanum","MIZ343","Cyclopodia_dubia","OR732279"
"Rousettus_madagascariensis","MIZ185","Eucampsipoda_madagascariensis","OR732269"
"Rousettus_madagascariensis","MIZ207","Eucampsipoda_madagascariensis","OR732253"
"Rousettus_madagascariensis","MIZ250","Eucampsipoda_madagascariensis","OR732276"
"Rousettus_madagascariensis","MIZ262","Eucampsipoda_madagascariensis","OR732244"
"Rousettus_madagascariensis","MIZ300","Eucampsipoda_madagascariensis","OR732249"
"Rousettus_madagascariensis","MIZ306","Eucampsipoda_madagascariensis","OR732255"
"Rousettus_madagascariensis","MIZ312","Eucampsipoda_madagascariensis","OR732248"
"Rousettus_madagascariensis","MIZ346","Eucampsipoda_madagascariensis","OR732283"
"Rousettus_madagascariensis","MIZ367","Eucampsipoda_madagascariensis","OR732250"
"Rousettus_madagascariensis","MIZ452","Eucampsipoda_madagascariensis","OR732256"
"Rousettus_madagascariensis","MIZ455","Eucampsipoda_madagascariensis","OR732241"
"Rousettus_madagascariensis","MIZ455","Eucampsipoda_madagascariensis","OR732311"
"Rousettus_madagascariensis","MIZ463","Eucampsipoda_madagascariensis","OR732254"
"Rousettus_madagascariensis","MIZ463","Eucampsipoda_madagascariensis","OR732312"
"Rousettus_madagascariensis","MIZ464","Eucampsipoda_madagascariensis","OR732292"
"Rousettus_madagascariensis","MIZ466","Eucampsipoda_madagascariensis","OR732257"
"Rousettus_madagascariensis","MIZ466","Eucampsipoda_madagascariensis","OR732314"
"Rousettus_madagascariensis","MIZ468","Eucampsipoda_madagascariensis","OR732310"
"Rousettus_madagascariensis","MIZ475","Eucampsipoda_madagascariensis","OR732305"
"Rousettus_madagascariensis","MIZ476","Eucampsipoda_madagascariensis","OR732315"
"Rousettus_madagascariensis","MIZ481","Eucampsipoda_madagascariensis","OR732300"
"Rousettus_madagascariensis","MIZ481","Eucampsipoda_madagascariensis","OR732313"
"Rousettus_madagascariensis","MIZ484","Eucampsipoda_madagascariensis","OR732288"
"Rousettus_madagascariensis","MIZ485","Eucampsipoda_madagascariensis","OR732275"
"Rousettus_madagascariensis","MIZ487","Eucampsipoda_madagascariensis","OR732272"
"Rousettus_madagascariensis","MIZ492","Eucampsipoda_madagascariensis","OR732297"
"Rousettus_madagascariensis","MIZ512","Eucampsipoda_madagascariensis","OR732242"
"Rousettus_madagascariensis","MIZ534","Eucampsipoda_madagascariensis","OR732260"
"Rousettus_madagascariensis","ROU114","Eucampsipoda_madagascariensis","OR732274"
"Rousettus_madagascariensis","ROU120","Eucampsipoda_madagascariensis","OR732237"
"Rousettus_madagascariensis","ROU120","Eucampsipoda_madagascariensis","OR732251"
"Rousettus_madagascariensis","ROU124","Eucampsipoda_madagascariensis","OR732299"
"Rousettus_madagascariensis","ROU132","Eucampsipoda_madagascariensis","OR732293"
"Rousettus_madagascariensis","ROU132","Eucampsipoda_madagascariensis","OR732309"
"Rousettus_madagascariensis","ROU184","Eucampsipoda_madagascariensis","OR732245"
"Rousettus_madagascariensis","ROU184","Eucampsipoda_madagascariensis","OR732291"
"Rousettus_madagascariensis","ROU192","Eucampsipoda_madagascariensis","OR732301"
"Rousettus_madagascariensis","ROU192","Eucampsipoda_madagascariensis","OR732303"
"Rousettus_madagascariensis","MIZ485","Megastrebla_wenzeli","OR732277"
"Rousettus_madagascariensis","MIZ485","Megastrebla_wenzeli","OR732302"
"Rousettus_madagascariensis","MIZ492","Megastrebla_wenzeli","OR732258"
