ID,Box,Bat_species,Bat_SampleID,Ecto_type,Ecto_genus,Ecto_species,Ecto_ID,Count,Male,Female,Notes,Photo
AFA,ED_M1,Eiodolon_dupreaneum,KEL250,Mite,Meristapsis,Meristapsis_spp1,KEL250_M1,2,NA,NA,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL249,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL249_Cd,2,1,1,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL248,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL248_Cd,4,2,2,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL247,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL247_Cd,4,0,4,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL246,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL246_Cd,2,1,1,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL245,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL245_Cd,5,5,0,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL244,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL244_Cd,1,1,0,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL243,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL243_Cd,3,1,2,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL242,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL242_Cd,1,1,0,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL149,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL149_Cd,6,3,3,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL149,Mite,Meristapsis,Meristapsis_spp1,KEL149_M1,1,NA,NA,,
AFA,ED_F1,Eiodolon_dupreaneum,KEL149,Flea,Thaumapsylla,Thaumapsylla_sp,KEL149_Th,3,3,0,Specimens maybe mulde,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL150,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL150_Cd,5,5,0,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL150,Mite,Meristapsis,Meristapsis_spp1,KEL150_M1,6,NA,NA,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL151,Mite,Meristapsis,Meristapsis_spp1,KEL151_M1,10,2,5,,
AFA,ED_F1,Eiodolon_dupreaneum,KEL151,Flea,Thaumapsylla,Thaumapsylla_sp,KEL151_Th,1,0,1,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL152,Ticks,Ornithodoros,Ornithodoros_sp1,KEL152_Tk1,1,NA,NA,Ticks photo,
AFA,ED_M1,Eiodolon_dupreaneum,KEL152,Mite,Meristapsis,Meristapsis_spp1,KEL152_M1,7,NA,NA,,
AFA,ED_F1,Eiodolon_dupreaneum,KEL152,Flea,Thaumapsylla,Thaumapsylla_sp,KEL152_Th,6,3,3,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL152,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL152_Cd,8,4,4,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL153,Mite,Meristapsis,Meristapsis_spp1,KEL153_M1,9,NA,NA,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL153,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL153_Cd,1,1,0,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL154,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL154_Cd,2,2,0,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL154,Mite,Meristapsis,Meristapsis_spp1,KEL154_M1,1,NA,NA,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL155,Mite,Meristapsis,Meristapsis_spp1,KEL155_M1,2,NA,NA,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL156,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL156_Cd,16,13,3,,
AFA,ED_F1,Eiodolon_dupreaneum,KEL156,Flea,Thaumapsylla,Thaumapsylla_sp,KEL156_Th,19,8,11,,
AFA,ED_F1,Eiodolon_dupreaneum,KEL157,Flea,Thaumapsylla,Thaumapsylla_sp,KEL157_Th,2,1,1,,
AFA,ED_F1,Eiodolon_dupreaneum,KEL158,Flea,Thaumapsylla,Thaumapsylla_sp,KEL158_Th,3,0,3,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL158,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL158_Cd,6,2,4,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL158,Mite,Meristapsis,Meristapsis_spp1,KEL158_M1,6,NA,NA,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL159,Mite,Meristapsis,Meristapsis_spp1,KEL159_M1,1,NA,NA,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL159,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL159_Cd,5,3,2,,
AFA,ED_BF1,Eiodolon_dupreaneum,KEL160,Bat fly,Cyclopodia,Cyclopodia_dubia,KEL160_Cd,3,1,2,,
AFA,ED_M1,Eiodolon_dupreaneum,KEL160,Mite,Meristapsis,Meristapsis_spp1,KEL160_M1,6,NA,NA,,
