sampleid,roost_site,latitude_s,longitude_e,researchers_present,sampling_session,processing_date,processing_time_start,processing_time_end,bat_species,recap,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,bat_weight_g,bat_forearm_mm,bat_flies,meglastreblidae,fleas,mites,ticks,t_star,total_ectos
MIZ153,Maromizaha_Rmad,-18.9623,48.4525,"CB, CR, AR, AFA",39,2/19/18,NA,NA,Rousettus madagascariensis,no,male,J,yes,yes,pup,MIZ154,30,35.8,16,NA,6,30,0,NA,52
MIZ236,Maromizaha_Rmad,-18.9623,48.4525,"CB, CR, AFA, AR",50,9/11/18,NA,NA,Rousettus madagascariensis,no,female,NL,no,no,NA,NA,55,70.2,4,NA,0,6,0,NA,10
MIZ257,Maromizaha_Rmad,-18.9623,48.4525,"CB, SG, MA, Vero",53,12/20/18,NA,NA,Rousettus madagascariensis,no,female,J,yes,yes,pup,MIZ247,9,34.5,0,NA,0,4,0,NA,4
MIZ277,Maromizaha_Rmad,-18.9623,48.4525,"CB, SG, MA, Vero",55,1/3/19,NA,NA,Rousettus madagascariensis,yes,male,A,no,no,NA,NA,43,65.5,6,NA,2,12,0,NA,20
MIZ286,Maromizaha_Rmad,-18.9623,48.4525,"CB, SG, MA, Vero",55,1/3/19,NA,NA,Rousettus madagascariensis,no,male,J,yes,yes,pup,MIZ285,20,42.1,0,NA,2,5,0,NA,7
MIZ287,Maromizaha_Rmad,-18.9623,48.4525,"CB, SG, MA, Vero",55,1/3/19,NA,NA,Rousettus madagascariensis,no,male,J,yes,yes,pup,MIZ278,22,46.4,0,NA,2,0,0,NA,2
MIZ288,Maromizaha_Rmad,-18.9623,48.4525,"CB, SG, MA, Vero",55,1/3/19,NA,NA,Rousettus madagascariensis,no,female,J,yes,yes,pup,MIZ279,24,42.8,3,NA,1,5,0,NA,9
MIZ291,Maromizaha_Rmad,-18.9623,48.4525,"CB, SG, AA, Vero",55,1/4/19,NA,NA,Rousettus madagascariensis,no,female,NL,no,no,NA,NA,52,71.2,2,NA,0,5,0,NA,7
MIZ327,Maromizaha_Rmad,-18.9623,48.4525,"AA, Tiana, MA, Vero",58,1/9/19,NA,NA,Rousettus madagascariensis,no,male,J,yes,yes,pup,MIZ321,4,27.6,0,0,0,0,1,NA,1
MIZ370,Maromizaha_Rmad,-18.9623,48.4525,"CB, AG, KR, AA, FR, Vero",59,2/1/19,NA,NA,Rousettus madagascariensis,no,male,J,yes,yes,pup,MIz362,10,43.3,3,0,1,3,0,NA,7
